causa,nivel,justificacion_medica,cie10,confianza,frecuencia,pct_cobertura,origen
"COCCIDIOIDOMICOSIS, NO ESPECIFICADA",2,Infección fúngica sistémica que requiere hospitalización para tratamiento antifúngico y seguimiento,B38.9,alta,6.0,0.0001,sample_1000
"SÍNDROME URETRAL, NO ESPECIFICADO",1,Síndrome urológico funcional de manejo ambulatorio,N34.3,alta,6.0,0.0001,sample_1000
EFECTO TÓXICO DEL PLOMO Y SUS COMPUESTOS,2,"Intoxicación por plomo que requiere hospitalización, quelación y monitoreo",T56.0,alta,6.0,0.0001,sample_1000
"GOLPE CONTRA O GOLPEADO POR EQUIPO PARA DEPORTES, VIVIENDA",2,Trauma deportivo que puede requerir evaluación hospitalaria según gravedad,W21.0,media,6.0,0.0001,sample_1000
SECUELAS DE TUBERCULOSIS GENITOURINARIA,1,Condición residual de infección pasada que requiere seguimiento ambulatorio,B90.1,alta,6.0,0.0001,sample_1000
ANEMIA DEBIDA A DEFICIENCIA DE GLUCOSA-6-FOSFATO DESHIDROGENASA [G6FD],1,Anemia hemolítica hereditaria manejable ambulatoriamente evitando desencadenantes,D55.0,alta,6.0,0.0001,sample_1000
"PEATÓN LESIONADO EN ACCIDENTE DE TRÁNSITO QUE INVOLUCRA OTROS VEHÍCULOS DE MOTOR, Y LOS NO ESPECIFICADOS",2,Politraumatismo por atropellamiento que requiere hospitalización,V09,media,6.0,0.0001,sample_1000
"PLASMOCITOMA, EXTRAMEDULAR",3,Neoplasia hematológica que requiere oncología y quimioterapia,C90.2,alta,6.0,0.0001,sample_1000
MAL FUNCIONAMIENTO DE ESTOMA EXTERNO DE VÍAS URINARIAS,2,Complicación urológica de estoma que requiere evaluación y posible reintervención,N99.5,alta,6.0,0.0001,sample_1000
EFECTO TOXICO DE SUSTANCIAS CORROSIVAS: ALCALIS CAUSTICOS Y SUSTANCIAS ALCALINAS SIMILARES,3,Intoxicación corrosiva que requiere manejo urgente en UCI para protección de vía aérea y esófago,T54.3,alta,6.0,0.0001,sample_1000
OTRAS INFECCIONES PUERPERALES,2,Infección postparto que requiere hospitalización y antibióticos parenterales,O86,alta,6.0,0.0001,sample_1000
CARDIOMIOPATÍA EN ENFERMEDADES METABÓLICAS,3,Afección cardíaca secundaria que requiere manejo cardiológico especializado y posible hospitalización en UCI,I43.1,alta,6.0,0.0001,sample_1000
"OTRAS MALFORMACIONES CONGÉNITAS DE LA PIEL, ESPECIFICADAS",2,Malformación cutánea congénita que puede requerir cirugía plástica programada,Q82.8,media,6.0,0.0001,sample_1000
"OTRAS INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL, NO CLASIFICADAS EN OTRA PARTE",3,Encefalitis o meningitis viral que requiere UCI y manejo neurológico especializado,A89,alta,6.0,0.0001,sample_1000
TRAUMATISMO POR APLASTAMIENTO DEL ANTEBRAZO,2,Trauma grave de antebrazo que requiere cirugía ortopédica y hospitalización,S57,alta,5.0,0.0001,sample_1000
HERIDA QUE COMPROMETE LA FARINGE Y EL ESÓFAGO CERVICAL,3,Trauma cervical complejo que requiere cirugía urgente y UCI,S11.2,alta,5.0,0.0001,sample_1000
FÍSTULA ARTICULAR,2,Comunicación patológica articular que requiere evaluación quirúrgica y posible hospitalización,M25.1,alta,5.0,0.0001,sample_1000
"VÓMITOS DEL EMBARAZO, NO ESPECIFICADOS",1,Síntoma común del embarazo manejable ambulatoriamente con antieméticos e hidratación,O21.9,media,5.0,0.0001,sample_1000
MIASTENIA GRAVIS Y OTROS TRASTORNOS NEUROMUSCULARES,3,Enfermedad neuromuscular autoinmune que requiere neurología especializada y posible UCI,G70,alta,5.0,0.0001,sample_1000
"MORDEDURA O PICADURA DE INSECTOS Y OTROS ARTRÓPODOS NO VENENOSOS, ESCUELAS, OTRAS INSTITUCIONES Y ÁREAS ADMINISTRATIVAS PÚBLICAS",1,Picadura simple de manejo ambulatorio,W57.2,alta,5.0,0.0001,sample_1000
ENFERMEDAD DE PAGET DEL CRÁNEO,2,Enfermedad ósea crónica que puede requerir hospitalización para tratamiento,M88.0,alta,5.0,0.0001,sample_1000
SÍFILIS PRIMARIA EN OTROS SITIOS,1,Infección de transmisión sexual en estadio temprano manejable ambulatoriamente con penicilina,A51.2,alta,5.0,0.0001,sample_1000
ENFERMEDAD POR DESCOMPRESIÓN [DE LOS CAJONES SUMERGIDOS],3,Emergencia de buceo que requiere cámara hiperbárica urgente y manejo en cuidados intensivos,T70.3,alta,5.0,0.0001,sample_1000
SHIGELOSIS DEBIDA A SHIGELLA SONNEI,1,Infección gastrointestinal bacteriana generalmente manejable ambulatoriamente con hidratación y antibióticos,A03.3,alta,5.0,0.0001,sample_1000
CISTITIS POR IRRADIACIÓN,2,Complicación de radioterapia que requiere hospitalización para manejo del dolor y hematuria,N30.4,alta,5.0,0.0001,sample_1000
"ENFERMEDAD DEL TIMO, NO ESPECIFICADA",2,"Patología tímica que requiere evaluación especializada, estudios de imagen y posible cirugía",E32.9,media,5.0,0.0001,sample_1000
TRAUMATISMO DE NERVIO NO ESPECIFICADO DEL TÓRAX,2,Lesión neurológica torácica que requiere hospitalización para evaluación y manejo del dolor,S24.9,media,5.0,0.0001,sample_1000
"PEQUEÐO MAL, NO ESPECIFICADO (SIN ATAQUE DE GRAN MAL)",1,Epilepsia de ausencias manejable ambulatoriamente con anticonvulsivantes,G40.3,alta,5.0,0.0001,sample_1000
FALTA O PÉRDIDA DEL DESEO SEXUAL,1,Disfunción sexual de manejo ambulatorio con psicología o sexología,F52.0,alta,5.0,0.0001,sample_1000
"TROMBOSIS INTRACARDÍACA, NO CLASIFICADA EN OTRA PARTE",3,"Condición cardiológica grave que requiere anticoagulación urgente, ecocardiografía y manejo en UCI",I51.3,alta,5.0,0.0001,sample_1000
"CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, OTRO LUGAR ESPECIFICADO",2,Cuerpo extraño que puede requerir extracción quirúrgica programada,T15,media,5.0,0.0001,sample_1000
HEMATEMESIS NEONATAL,2,Sangrado digestivo neonatal que requiere hospitalización y estudio,P54.0,alta,5.0,0.0001,sample_1000
RUPTURA ARTERIAL,3,Emergencia vascular que requiere cirugía urgente y manejo en cuidados intensivos,I77.2,alta,5.0,0.0001,sample_1000
PARTO DE FETO VIABLE EN EMBARAZO ABDOMINAL,3,Emergencia obstétrica grave que requiere laparotomía urgente y manejo en cuidados intensivos,O00.0,alta,5.0,0.0001,sample_1000
"VÍCTIMA DE RAYO, VIVIENDA",3,Trauma eléctrico grave que requiere UCI y manejo de arritmias y quemaduras,X33.0,alta,5.0,0.0001,sample_1000
"ABORTO ESPONTÁNEO COMPLETO O NO ESPECIFICADO, COMPLICADO CON INFECCIÓN GENITAL Y PELVIANA",2,Complicación obstétrica infecciosa que requiere hospitalización y antibióticos,O03.0,alta,5.0,0.0001,sample_1000
ARTRITIS TUBERCULOSA,2,Tuberculosis osteoarticular que requiere hospitalización y tratamiento prolongado,A18.0,alta,5.0,0.0001,sample_1000
OTRAS FIEBRES HEMORRÁGICAS VIRALES ESPECIFICADAS,3,"Enfermedad viral grave que requiere aislamiento, UCI y manejo de coagulopatía",A98,alta,5.0,0.0001,sample_1000
"OTRAS COMPLICACIONES VENOSAS CONSECUTIVAS AL ABORTO, AL EMBARAZO ECTÓPICO Y AL EMBARAZO MOLAR",2,Complicación vascular obstétrica que requiere hospitalización y anticoagulación,O08.7,alta,5.0,0.0001,sample_1000
FRAMBESIA,1,Infección tropical crónica de manejo ambulatorio con penicilina,A66,alta,5.0,0.0001,sample_1000
PERSONA LESIONADA POR COLISION ENTRE AUTOMOVIL Y V,2,Trauma de tránsito que típicamente requiere evaluación hospitalaria y manejo de lesiones múltiples,V43,media,4.0,0.0001,sample_1000
PROBLEMAS RELACIONADOS CON LA DIETA Y HÁBITOS ALIMENTARIOS INAPROPIADOS,1,Trastorno alimentario de manejo ambulatorio con nutrición,Z72.4,alta,4.0,0.0001,sample_1000
TUMOR MALIGNO DE SITIOS MAL DEFINIDOS DEL SISTEMA RESPIRATORIO,3,"Cáncer respiratorio que requiere oncología, quimioterapia y/o radioterapia",C39,alta,4.0,0.0001,sample_1000
"OTROS INTENTOS FALLIDOS DE ABORTO Y LOS NO ESPECIFICADOS, COMPLICADOS POR EMBOLIA",3,Complicación tromboembólica de aborto que requiere manejo urgente en UCI con anticoagulación,O07.2,alta,4.0,0.0001,sample_1000
"HEPATOMEGALIA , NO CLASIFICADA EN OTRA PARTE",1,Hallazgo clínico que requiere estudios de imagen y laboratorio ambulatorios para diagnóstico etiológico,R16.0,media,4.0,0.0001,sample_1000
OFTALMOPLEJÍA INTERNUCLEAR,2,Trastorno neuroftalmológico que requiere estudios de imagen y hospitalización para diagnóstico diferencial,H51.2,alta,4.0,0.0001,sample_1000
HIPOPLASIA Y DISPLASIA PULMONAR,3,Malformación pulmonar congénita que requiere manejo neumológico especializado,Q33.6,alta,4.0,0.0001,sample_1000
ENVENENAMIENTO POR ANTICONCEPTIVOS ORALES,2,Intoxicación que requiere hospitalización para desintoxicación y vigilancia,T38.4,alta,4.0,0.0001,sample_1000
EFECTO TOXICO DE OTRAS SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTO: HONGOS INGERIDOS,2,Intoxicación por hongos que requiere hospitalización y soporte hepático/renal,T62.0,alta,4.0,0.0001,sample_1000
COLOBOMA DEL IRIS,1,Malformación congénita ocular que requiere evaluación oftalmológica ambulatoria,Q13.0,alta,4.0,0.0001,sample_1000
RUBÉOLA CON OTRAS COMPLICACIONES,2,Infección viral con complicaciones que requiere hospitalización para manejo,B06.8,alta,4.0,0.0001,sample_1000
NEUMOCONIOSIS DEBIDA A OTROS POLVOS QUE CONTIENEN SÍLICE,2,Enfermedad pulmonar ocupacional que requiere evaluación neumológica especializada y posible hospitalización,J62.8,alta,4.0,0.0001,sample_1000
ERISIPELOIDE,1,Infección cutánea bacteriana de manejo ambulatorio con antibióticos orales,A26,alta,4.0,0.0001,sample_1000
OTRAS ARTROPATÍAS POSTINFECCIOSAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,2,Artritis reactiva que puede requerir hospitalización para antibióticos,M03,media,4.0,0.0001,sample_1000
OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOÁCIDOS DE CADENA RAMIFICADA,3,Error congénito del metabolismo que requiere manejo metabólico especializado,E71.2,alta,4.0,0.0001,sample_1000
"TRASTORNO DE LA CONTINUIDAD DEL HUESO, NO ESPECIFICADO",2,"Fractura o pseudoartrosis que requiere manejo ortopédico, posible cirugía",M84.9,media,4.0,0.0001,sample_1000
"OTRAS CAÍDAS EN EL MISMO NIVEL, OTRO LUGAR ESPECIFICADO",2,Trauma por caída que puede requerir evaluación hospitalaria según lesiones,W18.3,media,4.0,0.0001,sample_1000
TRASTORNO NO ESPECIFICADO DE LA ENCÍA Y DE LA ZONA EDÉNTULA,1,Patología dental/periodontal de manejo ambulatorio,K06.9,alta,4.0,0.0001,sample_1000
FASCITIS NODULAR,2,Lesión de tejidos blandos que puede requerir biopsia y cirugía programada,M72.4,alta,4.0,0.0001,sample_1000
"FACOMATOSIS, NO CLASIFICADA EN OTRA PARTE",3,Síndrome neurocutáneo complejo que requiere manejo multidisciplinario especializado,Q85.9,alta,4.0,0.0001,sample_1000
"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MÚLTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS, TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO",2,Trastorno psiquiátrico por abuso de sustancias que puede requerir internamiento,F19.9,media,4.0,0.0001,sample_1000
SINDROME VITREO CONSECUTIVO A CIRUGIA DE CATARATA,2,Complicación oftalmológica postquirúrgica que puede requerir reintervención,H59.0,alta,4.0,0.0001,sample_1000
CALCIFICACION Y OSIFICACION DEL MUSCULO,2,Miositis osificante que puede requerir cirugía ortopédica programada,M61,alta,4.0,0.0001,sample_1000
"OTROS TRAUMATISMOS DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO",2,Trauma de extremidad superior que puede requerir cirugía ortopédica,T11.9,media,4.0,0.0001,sample_1000
EFECTOS ADVERSOS DE BENZODIAZEPINAS,1,Reacción adversa medicamentosa generalmente de manejo ambulatorio,Y47,media,4.0,0.0001,sample_1000
"VÍCTIMA DE ERUPCIÓN VOLCÁNICA, VIVIENDA",3,Traumatismo múltiple por desastre natural que requiere manejo urgente y cuidados intensivos,X35.0,media,4.0,0.0001,sample_1000
"PRURITO, NO ESPECIFICADO",1,Síntoma dermatológico de manejo ambulatorio,L29.9,alta,4.0,0.0001,sample_1000
TRAUMATISMO DE LA VENA POPLÍTEA,3,Trauma vascular mayor que requiere cirugía vascular urgente y UCI,S85.5,alta,4.0,0.0001,sample_1000
AUSENCIA DEL IRIS,1,Malformación congénita ocular que requiere evaluación oftalmológica ambulatoria y adaptación visual,Q13.1,alta,4.0,0.0001,sample_1000
OTROS ESTAFILOCOCOS COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPÍTULOS,2,Infección estafilocócica que requiere hospitalización para antibioticoterapia según gravedad,B95.8,media,4.0,0.0001,sample_1000
"HERIDAS DEL TORAX, PARTE NO ESPECIFICADA",2,Trauma torácico que requiere hospitalización y manejo de posibles lesiones internas,S21,media,4.0,0.0001,sample_1000
HERIDA MÚLTIPLE DE LA PARED TORÁCICA,2,Politraumatismo torácico que requiere hospitalización y cirugía,S21.7,alta,4.0,0.0001,sample_1000
CONSULTA PARA ASESORÍA POR ABUSO DE TABACO,1,Consulta preventiva ambulatoria para cesación tabáquica,Z71.6,alta,4.0,0.0001,sample_1000
GASTRITIS ALCOHÓLICA,1,Gastritis secundaria a alcohol manejable ambulatoriamente con inhibidores de bomba de protones y abstinencia,K29.2,alta,4.0,0.0001,sample_1000
TUMOR MALIGNO SECUNDARIO DEL MEDIASTINO,3,Metástasis mediastinal que requiere tratamiento oncológico especializado y cuidados paliativos,C78.1,alta,4.0,0.0001,sample_1000
"DERMATITIS DE CONTACTO POR IRRITANTES, DEBIDA A DROGAS EN CONTACTO CON LA PIEL",1,Dermatitis alérgica de manejo ambulatorio con esteroides tópicos,L24.4,alta,4.0,0.0001,sample_1000
CIRROSIS BILIAR SECUNDARIA,3,"Hepatopatía crónica avanzada que requiere manejo especializado, posible candidato a trasplante",K74.5,alta,4.0,0.0001,sample_1000
SEPTICEMIA DEBIDA A SALMONELLA,3,"Infección sistémica grave que requiere UCI, antibioticoterapia intensiva y monitoreo constante",A02.1,alta,3.0,0.0001,sample_1000
FETO Y RECIÉN NACIDO AFECTADOS POR SÍNDROMES DE TRANSFUSIÓN PLACENTARIA,3,Complicación neonatal grave que requiere UCI neonatal y manejo especializado,P02.3,alta,3.0,0.0001,sample_1000
ESTENOSIS MITRAL CONGÉNITA,3,"Cardiopatía congénita que requiere manejo cardiológico especializado, posible cirugía valvular",Q23.2,alta,3.0,0.0001,sample_1000
QUISTE CONGÉNITO DEL MEDIASTINO,2,Malformación congénita que requiere cirugía torácica programada y hospitalización,Q34.1,alta,3.0,0.0001,sample_1000
EFECTOS ADVERSOS DE LA VACUNA BCG,1,Reacción adversa vacunal generalmente leve de manejo ambulatorio,Y59.0,alta,3.0,0.0001,sample_1000
ATROFIA DE LAS PAPILAS LINGUALES,1,Trastorno lingual benigno de manejo ambulatorio,K14.4,alta,3.0,0.0001,sample_1000
"OTRAS COMPLICACIONES DEL TRABAJO DE PARTO Y DEL PARTO, NO CLASIFICADAS EN OTRA PARTE",2,Complicaciones obstétricas que requieren hospitalización y monitoreo materno-fetal,O75.8,alta,3.0,0.0001,sample_1000
"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICIÓN A DISOLVENTES ORGÁNICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES, LUGAR NO ESPECIFICADO",2,Intoxicación química que requiere hospitalización para desintoxicación y vigilancia neurológica,X46,alta,3.0,0.0001,sample_1000
OTRAS MALFORMACIONES CONGÉNITAS DE LOS PÁRPADOS,2,Malformación palpebral que puede requerir cirugía oftalmológica programada,Q10.3,alta,3.0,0.0001,sample_1000
PARO RESPIRATORIO,3,Emergencia crítica que requiere intubación inmediata y manejo en cuidados intensivos,R09.2,alta,3.0,0.0001,sample_1000
"INFECCIÓN PULMONAR DEBIDA A HISTOPLASMA CAPSULATUM, SIN OTRA ESPECIFICACIÓN",2,Infección fúngica pulmonar que requiere hospitalización y antifúngicos,B39.2,alta,3.0,0.0001,sample_1000
TRASTORNO DEL METABOLISMO DE LOS AMINOACIDOS AZUFRADOS,3,Error congénito del metabolismo que requiere manejo metabólico especializado,E72.1,alta,3.0,0.0001,sample_1000
"SÍNDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLÓGICAS Y FACTORES FÍSICOS, NO ESPECIFICADOS",2,Trastornos psicosomáticos que pueden requerir manejo hospitalario multidisciplinario,F59,media,3.0,0.0001,sample_1000
OTROS TRASTORNOS ADRENOGENITALES,3,Trastornos endocrinos complejos que requieren manejo por endocrinología especializada,E25,alta,3.0,0.0001,sample_1000
EFECTO TÓXICO DEL CONTACTO CON OTROS ANIMALES MARINOS,1,Lesión por contacto marino generalmente manejable ambulatoriamente con tratamiento sintomático,T63.6,media,3.0,0.0001,sample_1000
OTROS HALLAZGOS ANORMALES EN DIAGNÓSTICO POR IMAGEN DEL SISTEMA NERVIOSO CENTRAL,1,Hallazgo radiológico que requiere evaluación neurológica ambulatoria y estudios complementarios,R90.8,media,3.0,0.0001,sample_1000
AMPUTACIÓN TRAUMÁTICA A NIVEL DEL CUELLO,3,"Traumatismo catastrófico que requiere manejo inmediato en urgencias, cirugía y cuidados intensivos",S18,alta,3.0,0.0001,sample_1000
"MOSAICO 45, X/46,XX O XY",1,Anomalía cromosómica que requiere evaluación genética y endocrinológica ambulatoria,Q96.3,alta,3.0,0.0001,sample_1000
OTRAS FORMAS ESPECIFICADAS DE TEMBLOR,1,Trastorno del movimiento de manejo ambulatorio con neurología,G25.2,alta,3.0,0.0001,sample_1000
DISPLASIA CONDROECTODÉRMICA,3,Displasia ósea congénita rara que requiere manejo multidisciplinario especializado,Q77.6,alta,3.0,0.0001,sample_1000
TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN MÚLTIPLES REGIONES DEL (DE LOS) MIEMBRO(S) INFERIOR(ES),3,Politraumatismo grave que requiere cirugía ortopédica de urgencia y UCI,T04.3,alta,3.0,0.0001,sample_1000
CANDIDIASIS DE OTRAS LOCALIZACIONES UROGENITALES,1,Infección micótica urogenital de manejo ambulatorio con antifúngicos,B37.4,alta,3.0,0.0001,sample_1000
CONTACTO CON Y EXPOSICIÓN AL VIRUS DE LA INMUNODEFICIENCIA HUMANA [VIH],1,Evaluación post-exposición que requiere profilaxis y seguimiento ambulatorio,Z20.6,alta,3.0,0.0001,sample_1000
OTROS ORIFICIOS ARTIFICIALES DE LAS VÍAS URINARIAS,1,Manejo de estomas urinarios que requiere atención ambulatoria para cuidados y ajustes,Z93.6,alta,3.0,0.0001,sample_1000
LECTURA DE PRESIÓN BAJA NO ESPECÍFICA,1,Hallazgo clínico que requiere evaluación ambulatoria para determinar causa,R03.1,baja,3.0,0.0001,sample_1000
REOVIRUS COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPÍTULOS,1,Infección viral generalmente autolimitada manejable ambulatoriamente,B97.5,media,3.0,0.0001,sample_1000
SEPTICEMIA DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS,3,Infección sistémica grave que requiere manejo urgente en UCI con antibióticos intravenosos,A41.5,alta,3.0,0.0001,sample_1000
ESTENOSIS SUBGLÓTICA CONGÉNITA,2,Malformación congénita de vía aérea que requiere cirugía otorrinolaringológica y hospitalización,Q31.1,alta,3.0,0.0001,sample_1000
CORAZÓN TRIAURICULAR,3,Cardiopatía congénita compleja que requiere cirugía cardiovascular especializada,Q20.4,alta,3.0,0.0001,sample_1000
"CICLISTA LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE, Y EN LOS NO ESPECIFICADOS.",2,Trauma por accidente ciclista que requiere evaluación hospitalaria,V19,media,3.0,0.0001,sample_1000
GOLPE CONTRA O GOLPEADO POR EQUIPO PARA DEPORTES,2,Trauma deportivo que puede requerir evaluación hospitalaria según gravedad,W21,media,3.0,0.0001,sample_1000
"INFECCIONES RESPIRATORIAS, NO CLASIFICADAS EN OTRO SITIO",1,Infección respiratoria inespecífica generalmente manejable ambulatoriamente,J98.8,baja,3.0,0.0001,sample_1000
LEPTOSPIROSIS,2,Infección bacteriana zoonótica que requiere hospitalización para antibioticoterapia y manejo de complicaciones,A27,alta,3.0,0.0001,sample_1000
"TRASTORNO POR TIC, NO ESPECIFICADO",1,Trastorno neuropsiquiátrico manejable ambulatoriamente con farmacoterapia y terapia conductual,F95.9,alta,3.0,0.0001,sample_1000
"MARCAS RESIDUALES EN LA PIEL, DE HEMORROIDES",1,Hallazgo dermatológico benigno sin requerimiento de tratamiento complejo,L87.2,alta,3.0,0.0001,sample_1000
TUMOR MALIGNO DEL PISO DE LA BOCA,3,"Cáncer oral que requiere oncología, cirugía maxilofacial y radioterapia",C04,alta,3.0,0.0001,sample_1000
BURSITIS GONOCOCICA (A54.4Å),2,Infección articular gonocócica que requiere hospitalización y antibióticos parenterales,M73.0,alta,3.0,0.0001,sample_1000
OCLUSION Y ESTENOSIS DE LAS ARTERIAS PRECEREBRALES SIN OCASIONAR INFARTO CEREBRAL,3,Enfermedad cerebrovascular que requiere manejo neurológico especializado y posible cirugía,I65,alta,3.0,0.0001,sample_1000
OTROS TRASTORNOS DE LOS MOVIMIENTOS BINOCULARES,1,Trastorno oftalmológico manejable ambulatoriamente con ortóptica o cirugía programada,H51.8,alta,3.0,0.0001,sample_1000
"CONTACTO TRAUMÁTICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS, LUGAR NO ESPECIFICADO",2,Envenenamiento animal que requiere hospitalización para antídoto y vigilancia,X29,media,3.0,0.0001,sample_1000
INTOXICACIÓN ALIMENTARIA POR CLENBUTEROL,2,Intoxicación química que requiere hospitalización y monitoreo cardiovascular,T65.8,alta,3.0,0.0001,sample_1000
FÍSTULA DEL APÉNDICE,2,Complicación quirúrgica que requiere reintervención programada,K38.3,alta,3.0,0.0001,sample_1000
OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS,3,Error metabólico congénito que requiere manejo especializado en metabolismo,E72,alta,3.0,0.0001,sample_1000
MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS,2,Trauma vehicular que requiere evaluación hospitalaria y manejo de lesiones,V22,media,3.0,0.0001,sample_1000
PERIARTRITIS DE LA MUÑECA,1,Tendinitis o inflamación periarticular de manejo ambulatorio con AINES y rehabilitación,M77.2,alta,3.0,0.0001,sample_1000
"COMPLICACIONES CONSECUTIVAS AL ABORTO, AL EMBARAZO ECTOPICO Y AL EMBARAZO MOLAR",2,Complicación obstétrica que requiere hospitalización y manejo ginecológico,O08,media,3.0,0.0001,sample_1000
EFECTO TÓXICO DE ÁCIDOS CORROSIVOS Y SUSTANCIAS ÁCIDAS SIMILARES,3,"Intoxicación corrosiva grave que requiere UCI, endoscopia urgente y cirugía posible",T54,alta,3.0,0.0001,sample_1000
CEGUERA Y DEFICIENCIA VISUAL (BINICULAR O MONOCULAR),1,Condición oftalmológica crónica de seguimiento ambulatorio,H54,media,2.0,0.0,sample_1000
ARTRITIS EN LA ENFERMEDAD DE LYME (A69.2Å),2,Complicación articular de Lyme que requiere antibióticos parenterales prolongados,M01.2,alta,2.0,0.0,sample_1000
"ERISIPELOIDE, NO ESPECIFICADA",1,Infección cutánea bacteriana de manejo ambulatorio con antibióticos,A26.9,alta,2.0,0.0,sample_1000
PORTADOR DEL AGENTE DE LA FIEBRE TIFOIDEA,1,Portador asintomático que requiere seguimiento ambulatorio,Z22.0,alta,2.0,0.0,sample_1000
"SÍNDROME NEFRÍTICO NO ESPECIFICADO, GLOMERULONEFRITIS PROLIFERATIVA ENDOCAPILAR DIFUSA",3,"Enfermedad renal inflamatoria que requiere hospitalización para biopsia, inmunosupresión y manejo de complicaciones",N00.3,alta,2.0,0.0,sample_1000
PROLONGACIÓN DEL PRIMER PERÍODO (DEL TRABAJO DE PARTO),2,Complicación obstétrica que requiere hospitalización y monitoreo fetal continuo,O63.0,alta,2.0,0.0,sample_1000
"TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE CON SÍNTOMAS PSICÓTICOS",2,Trastorno psiquiátrico grave que requiere hospitalización para estabilización y manejo farmacológico,F31.5,alta,2.0,0.0,sample_1000
"ENVENENAMIENTO POR PSICOTROPICOS, NO CLASIFICADOS EN OTRA PARTE: ANTIDEPRESIVOS TRICICLICOS Y TETRACICLICOS",3,Intoxicación que requiere manejo urgente en UCI por riesgo de arritmias y deterioro neurológico,T43.0,alta,2.0,0.0,sample_1000
"ENFERMEDADES REUMATICAS DEL ENDOCARDIO, VALVULA NO ESPECIFICADA",3,Valvulopatía de origen reumático que requiere evaluación cardiológica especializada y posible cirugía cardíaca,I09.9,alta,2.0,0.0,sample_1000
TRAUMATISMO POR APLASTAMIENTO DE LA CADERA Y DEL MUSLO,3,"Traumatismo grave que requiere manejo en urgencias, cirugía ortopédica y cuidados intensivos",S77,alta,2.0,0.0,sample_1000
OTRAS ANEMIAS NUTRICIONALES,1,Anemia carencial manejable ambulatoriamente con suplementación nutricional,D53.8,alta,2.0,0.0,sample_1000
SEPSIS ESTREPTOCOCICA,3,Infección sistémica grave que requiere manejo urgente en UCI con antibióticos intravenosos,A40,alta,2.0,0.0,sample_1000
AUSENCIA ADQUIRIDA DE MAMA(S),1,Condición post-quirúrgica que requiere seguimiento ambulatorio y reconstrucción programada,Z90.1,alta,2.0,0.0,sample_1000
"ENFERMEDAD MENINGOCÓCICA, NO ESPECIFICADA",3,"Infección meningocócica grave que requiere UCI, antibióticos y aislamiento",A39.9,alta,2.0,0.0,sample_1000
PARÁLISIS DE ERB DEBIDA A TRAUMATISMO DEL NACIMIENTO,2,"Lesión obstétrica del plexo braquial que requiere evaluación y fisioterapia, posible cirugía",P14.0,alta,2.0,0.0,sample_1000
BRONQUITIS AGUDA DEBIDA A VIRUS ECHO,1,Infección respiratoria viral de manejo ambulatorio,J20.7,alta,2.0,0.0,sample_1000
MIOGLOBINURIA,2,Condición que puede indicar rabdomiólisis y requiere hospitalización para hidratación y monitoreo renal,R82.1,alta,2.0,0.0,sample_1000
PANCREATITIS POR PAROTIDITIS (K87.1*),2,Complicación de parotiditis que requiere hospitalización para manejo del dolor y complicaciones,B26.3,alta,2.0,0.0,sample_1000
"EXPOSICIÓN A OTROS FACTORES ESPECIFICADOS, VIVIENDA",1,Exposición ambiental de evaluación ambulatoria,X58.0,baja,2.0,0.0,sample_1000
ENVENENAMIENTO POR OTRAS DROGAS ANTIIFLAMATORIAS NO ESTEROIDEAS [DAINE],2,"Intoxicación que requiere hospitalización para manejo de gastropatía, insuficiencia renal y alteraciones electrolíticas",T39.3,alta,2.0,0.0,sample_1000
"AGRESIÓN CON DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLÓGICAS, VIVIENDA",2,Intoxicación intencional que requiere hospitalización para desintoxicación y evaluación psiquiátrica,X85.0,alta,2.0,0.0,sample_1000
"CHOQUE O EMPELLÓN CONTRA OTRA PERSONA, VIVIENDA",2,Trauma por choque que puede requerir evaluación hospitalaria según lesiones,W03.0,media,2.0,0.0,sample_1000
