causa_original,causa_corregida,tipo_correccion,similitud,frecuencia,anios,num_anios
PARALISIS CEREBRAL DISCINETICA,PARÁLISIS CEREBRAL DISCINÉTICA,acento,0.99,1,2020,1
PARAMETRITIS Y CELULITIS PELVICA CRONICA,PARAMETRITIS Y CELULITIS PÉLVICA CRÓNICA,acento,0.99,1,2020,1
CARDIOMIOPATIA DEBIDA A DROGAS Y A OTROS AGENTES EXTERNOS,CARDIOMIOPATÍA DEBIDA A DROGAS Y OTROS AGENTES EXTERNOS,typo,0.9821,1,2020,1
CARDIOMIOPATIA HIPERTROFICA OBSTRUCTIVA,CARDIOMIOPATÍA HIPERTRÓFICA OBSTRUCTIVA,acento,0.99,1,2020,1
"OTROS NACIMIENTOS MÚLTIPLES, EN HOSPITAL","OTROS NACIMIENTOS MÚLTIPLES, EN HOSPITAL",sin_cambio,1.0,1,2023,1
OTROS TIPOS DE HIPERALIMENTACION ESPECIFICADOS,OTROS TIPOS DE HIPERALIMENTACIÓN ESPECIFICADOS,acento,0.99,1,2020,1
OTROS TIPOS DE SINDROME DE CUSHING,OTROS TIPOS DE SÍNDROME DE CUSHING,acento,0.99,1,2020,1
OTROS TIPOS ESPECIFICADOS DE LINFOMA DE CELULAS T/NK,OTROS TIPOS ESPECIFICADOS DE LINFOMA DE CELULAS T/NK,sin_cambio,1.0,1,2023,1
OTROS TRANSTORNOS FALCIFORMES,OTROS TRASTORNOS FALCIFORMES,typo,0.9825,1,2020,1
OTROS TIPOS DE HIPERALDOSTERONISMO,OTROS TIPOS DE HIPERALDOSTERONISMO,sin_cambio,1.0,1,2020,1
OTROS TIPOS DE HIPERALIMENTACION,OTROS TIPOS DE HIPERALIMENTACION,sin_cambio,1.0,1,2022,1
OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LAS SENSACIONES Y PERCEPCIONES GENERALES,OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LAS SENSACIONES Y PERCEPCIONES GENERALES,sin_cambio,1.0,1,2022,1
PARAPSORIASIS EN PLACAS PEQUENAS,PARAPSORIASIS EN PLACAS PEQUEÑAS,acento,0.99,1,2020,1
PARKINSONISMO POSTENCEFALITICO,PARKINSONISMO POSTENCEFALÍTICO,acento,0.99,1,2020,1
PAROTIDITIS INFECCIOSA (PAPERAS),PAROTIDITIS INFECCIOSA (PAPERAS),sin_cambio,1.0,1,2020,1
"OTROS INTENTOS FALLIDOS DE ABORTO Y LOS NO ESPECIFICADOS, COMPLICADOS POR INFECCIÓN GENITAL Y PELVIANA","OTROS INTENTOS FALLIDOS DE ABORTO Y LOS NO ESPECIFICADOS, COMPLICADOS POR INFECCIÓN GENITAL Y PELVIANA",sin_cambio,1.0,1,2021,1
"OTROS INTENTOS FALLIDOS DE ABORTO Y LOS NO ESPECIFICADOS, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS","OTROS INTENTOS FALLIDOS DE ABORTO Y LOS NO ESPECIFICADOS, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS",sin_cambio,1.0,1,2020,1
"OTROS INTENTOS FALLIDOS DE ABORTO Y LOS NO ESPECIFICADOS, SIN COMPLICACION","OTROS INTENTOS FALLIDOS DE ABORTO Y LOS NO ESPECIFICADOS, SIN COMPLICACION",sin_cambio,1.0,1,2020,1
OTROS MÉTODOS DE ATENCIÓN PARA LA FECUNDACIÓN,OTROS MÉTODOS DE ATENCIÓN PARA LA FECUNDACIÓN,sin_cambio,1.0,1,2022,1
"OTROS NACIMIENTOS MULTIPLES, LUGAR DE NACIMIENTO N","OTROS NACIMIENTOS MULTIPLES, LUGAR DE NACIMIENTO N",sin_cambio,1.0,1,2020,1
"CAÍDA DESDE UN ÁRBOL, CALLES Y CARRETERAS","CAÍDA DESDE UN ÁRBOL, CALLES Y CARRETERAS",sin_cambio,1.0,1,2024,1
"CAÍDA NO ESPECIFICADA, COMERCIO Y ÁREA DE SERVICIOS","CAÍDA NO ESPECIFICADA, COMERCIO Y ÁREA DE SERVICIOS",sin_cambio,1.0,1,2021,1
"CAÍDA NO ESPECIFICADA, OTRO LUGAR ESPECIFICADO","CAÍDA NO ESPECIFICADA, LUGAR NO ESPECIFICADO",typo,0.9111,1,2022,1
CEGUERA NOCTURNA,CEGUERA NOCTURNA,sin_cambio,1.0,1,2022,1
"PARTO MULTIPLE, NO ESPECIFICADO","PARTO MÚLTIPLE, NO ESPECIFICADO",acento,0.99,1,2020,1
"PARAPLEJIA, ESPASTICA TROPICAL","PARAPLEJIA, ESPASTICA TROPICAL",sin_cambio,1.0,1,2020,1
PARAPLEJÍA ESPÁSTICA HEREDITARIA,PARAPLEJÍA ESPÁSTICA HEREDITARIA,sin_cambio,1.0,1,2024,1
PARAPLEJÍA FLÁCIDA,PARAPLEJÍA FLÁCIDA,sin_cambio,1.0,1,2023,1
"OTROS NACIMIENTOS MÚLTIPLES, TODOS NACIDOS VIVOS","OTROS NACIMIENTOS MÚLTIPLES, TODOS NACIDOS MUERTOS",typo,0.9184,1,2023,1
OTROS PENFIGOIDES,OTROS PÉNFIGOS,typo,0.9032,1,2020,1
OTROS PROBLEMAS DE ALIMENTACION DEL RECIEN NACIDO,OTROS PROBLEMAS DE ALIMENTACIÓN DEL RECIÉN NACIDO,acento,0.99,1,2020,1
OTROS PROBLEMAS RELACIONADOS CON EL ESTILO DE VIDA,OTROS PROBLEMAS RELACIONADOS CON EL ESTILO DE VIDA,sin_cambio,1.0,1,2022,1
"OTROS INTENTOS FALLIDOS DE ABORTO Y LOS NO ESPECIFICADOS, COMPLICADOS POR HEMORRAGIA EXCESIVA O TARDÍA","OTROS INTENTOS FALLIDOS DE ABORTO Y LOS NO ESPECIFICADOS, COMPLICADOS POR HEMORRAGIA EXCESIVA O TARDÍA",sin_cambio,1.0,1,2023,1
PARÁLISIS DEL NERVIO FRÉNICO DEBIDA A TRAUMATISMO DEL NACIMIENTO,PARÁLISIS DEL NERVIO FRÉNICO DEBIDA A TRAUMATISMO DEL NACIMIENTO,sin_cambio,1.0,1,2023,1
"PASAJERO DE MOTOCICLETA LESIONADO POR COLISION CON OTROS VEHICULO DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE DE TRANSITO","PASAJERO DE MOTOCICLETA LESIONADO POR COLISIÓN CON OTROS VEHÍCULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE DE TRÁNSITO",typo,0.9961,1,2020,1
"CALCIFICACIÓN Y OSIFICACIÓN DEL MÚSCULO, NO ESPECIFICADA","CALCIFICACIÓN Y OSIFICACIÓN DEL MÚSCULO, NO ESPECIFICADA",sin_cambio,1.0,1,2021,1
CONTACTO TRAUMÁTICO CON OTRO(S) OBJETOS(S) AFILADO(S) EN OTRA PARTE,CONTACTO TRAUMÁTICO CON OTRO(S) OBJETOS(S) AFILADO(S) EN OTRA PARTE,sin_cambio,1.0,1,2022,1
"CONTACTO TRAUMÁTICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS, OTRO LUGAR ESPECIFICADO","CONTACTO TRAUMÁTICO CON OTROS ANIMALES VENENOSOS ESPECIFICADOS, OTRO LUGAR ESPECIFICADO",sin_cambio,1.0,1,2022,1
OTROS SARCOMAS DEL HIGADO,OTROS SARCOMAS DEL HÍGADO,acento,0.99,1,2020,1
OTROS SINDROMES DE MALFORMACIONES CONGENITAS DEBIDOS A CAUSAS EXOGENAS CONOCIDAS,OTROS SÍNDROMES DE MALFORMACIONES CONGÉNITAS DEBIDOS A CAUSAS EXÓGENAS CONOCIDAS,acento,0.99,1,2020,1
OTROS SINDROMES DEL MALTRATO,OTROS SINDROMES DEL MALTRATO,sin_cambio,1.0,1,2020,1
CONTACTO TRAUMATICO CON VIDRIO CORTANTE,CONTACTO TRAUMATICO CON VIDRIO CORTANTE,sin_cambio,1.0,1,2023,1
"CONTACTO TRAUMÁTICO CON AGUIJONES, ESPINAS U HOJAS CORTANTES DE PLANTAS, VIVIENDA","CONTACTO TRAUMÁTICO CON AGUIJONES, ESPINAS U HOJAS CORTANTES DE PLANTAS, VIVIENDA",sin_cambio,1.0,1,2023,1
"CONTACTO TRAUMÁTICO CON ANIMALES Y PLANTAS MARINAS VENENOSOS, OTRO LUGAR ESPECIFICADO","CONTACTO TRAUMÁTICO CON ANIMALES Y PLANTAS MARINAS VENENOSOS, OTRO LUGAR ESPECIFICADO",sin_cambio,1.0,1,2023,1
OTROS HALLAZGOS ANORMALES EN EL EXAMEN PRENATAL DE LA MADRE,OTROS HALLAZGOS ANORMALES EN EL EXAMEN PRENATAL DE LA MADRE,sin_cambio,1.0,1,2023,1
CONVALECENCIA CONSECUTIVA A TRATAMIENTO NO ESPECIF,CONVALECENCIA CONSECUTIVA A TRATAMIENTO NO ESPECIF,sin_cambio,1.0,1,2020,1
COREA REUMATICA SIN MENCION DE COMPLICACION CARDIACA,COREA REUMÁTICA SIN MENCIÓN DE COMPLICACIÓN CARDÍACA,acento,0.99,1,2020,1
"CONTACTO TRAUMÁTICO CON ANIMALES Y PLANTAS VENENOSOS NO ESPECIFICADOS, CALLES Y CARRETERAS","CONTACTO TRAUMÁTICO CON ANIMALES Y PLANTAS VENENOSOS NO ESPECIFICADOS, CALLES Y CARRETERAS",sin_cambio,1.0,1,2023,1
"CONTACTO TRAUMÁTICO CON DISPOSITIVOS DE ELEVACIÓN Y TRANSMISIÓN, NO CLASIFICADOS EN OTRA PARTE, VIVIENDA","CONTACTO TRAUMÁTICO CON DISPOSITIVOS DE ELEVACIÓN Y TRANSMISIÓN, NO CLASIFICADOS EN OTRA PARTE, VIVIENDA",sin_cambio,1.0,1,2024,1
"CONTACTO TRAUMÁTICO CON ESCORPIÓN, CALLES Y CARRETERAS","CONTACTO TRAUMÁTICO CON ESCORPIÓN, CALLES Y CARRETERAS",sin_cambio,1.0,1,2023,1
"CONTACTO TRAUMÁTICO CON HERRAMIENTAS MANUALES SIN MOTOR, OTRO LUGAR ESPECIFICADO","CONTACTO TRAUMÁTICO CON HERRAMIENTAS MANUALES SIN MOTOR, OTRO LUGAR ESPECIFICADO",sin_cambio,1.0,1,2024,1
"CONTACTO TRAUMÁTICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS, VIVIENDA","CONTACTO TRAUMÁTICO CON OTRAS PLANTAS VENENOSAS ESPECIFICADAS, VIVIENDA",sin_cambio,1.0,1,2022,1
"PEDICULOSIS, SIN OTRA ESPECIFICACIÓN","PEDICULOSIS, SIN OTRA ESPECIFICACIÓN",sin_cambio,1.0,1,2022,1
CARCINOMA IN SITU DE OTROS ORGANOS GENITALES Y DE,CARCINOMA IN SITU DE OTROS ORGANOS GENITALES Y DE LOS NO ESPECIFICADOS,truncado,0.7,1,2020,1
"PASAJERO DE VEHÍCULO DE PEDAL LESIONADO POR COLISIÓN CON OTROS VEHÍCULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE NO DE TRÁNSITO","PASAJERO DE MOTOCICLETA LESIONADO POR COLISIÓN CON OTROS VEHÍCULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS EN ACCIDENTE NO DE TRÁNSITO",typo,0.9294,1,2022,1
PASAJERO DE VEHÍCULO PARA TODO TERRENO O DE OTRO VEHÍCULO DE MOTOR PARA USO FUERA DE LA CARRETERA LESIONADO EN ACCIDENTE NO DE TRÁNSITO,PASAJERO DE VEHÍCULO PARA TODO TERRENO O DE OTRO VEHÍCULO DE MOTOR PARA USO FUERA DE LA CARRETERA LESIONADO EN ACCIDENTE NO DE TRÁNSITO,sin_cambio,1.0,1,2023,1
PEATON LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR: ACCIDENTE NO DE TRANSITO,PEATON LESIONADO POR COLISION CON OTROS VEHICULOS SIN MOTOR: ACCIDENTE NO DE TRANSITO,sin_cambio,1.0,1,2020,1
"PEATÓN LESIONADO POR COLISIÓN CON VEHÍCULO DE PEDAL, ACCIDENTE DE TRÁNSITO","PEATÓN LESIONADO POR COLISIÓN CON VEHÍCULO DE PEDAL, ACCIDENTE NO DE TRÁNSITO",typo,0.9801,1,2022,1
"PEATÓN LESIONADO POR COLISIÓN CON VEHÍCULO DE TRANSPORTE PESADO O AUTOBÚS, ACCIDENTE DE TRÁNSITO","PEATÓN LESIONADO POR COLISIÓN CON VEHÍCULO DE TRANSPORTE PESADO O AUTOBÚS, ACCIDENTE NO DE TRÁNSITO",typo,0.9846,1,2021,1
CHANCRO BLANDO,CHANCRO BLANDO,sin_cambio,1.0,1,2022,1
BARTONELOSIS SISTEMICA,BARTONELOSIS SISTÉMICA,acento,0.99,1,2020,1
BLASTOMICOSIS,BLASTOMICOSIS,sin_cambio,1.0,1,2023,1
BLOQUEO CARDÍACO CONGÉNITO,BLOQUEO CARDÍACO CONGÉNITO,sin_cambio,1.0,1,2022,1
PERSONA LESIONADA EN OTROS ACCIDENTES ESPECIFICADO,PERSONA LESIONADA EN OTROS ACCIDENTES ESPECIFICADO,sin_cambio,1.0,1,2020,1
PERSONA LESIONADA POR COLISION ENTRE AUTOMOVIL Y A,PERSONA LESIONADA POR COLISION ENTRE AUTOMOVIL Y A,sin_cambio,1.0,1,2020,1
PERSONA LESIONADA POR COLISION ENTRE AUTOMOVIL Y C,PERSONA LESIONADA POR COLISION ENTRE AUTOMOVIL Y C,sin_cambio,1.0,1,2020,1
PERSONA LESIONADA POR COLISION ENTRE OTROS VEHICUL,PERSONA LESIONADA POR COLISION ENTRE OTROS VEHICUL,sin_cambio,1.0,1,2020,1
PERSONA LESIONADA POR COLISIÓN ENTRE AUTOMÓVIL Y CAMIONETA O FURGONETA (TRÁNSITO),PERSONA LESIONADA POR COLISIÓN ENTRE AUTOMÓVIL Y CAMIONETA O FURGONETA (TRÁNSITO),sin_cambio,1.0,1,2024,1
"PERDIDA NO CICATRICIAL DEL PELO, SIN OTRA ESPECIFICACION","PERDIDA NO CICATRICIAL DEL PELO, SIN OTRA ESPECIFICACION",sin_cambio,1.0,1,2020,1
PERFORACION DE LA OREJA,PERFORACIÓN DE LA OREJA,acento,0.99,1,2020,1
"BOCIO NEONATAL, NO CLASIFICADO EN OTRA PARTE","BOCIO NEONATAL, NO CLASIFICADO EN OTRA PARTE",sin_cambio,1.0,1,2020,1
BROMHIDROSIS,BROMHIDROSIS,sin_cambio,1.0,1,2021,1
BRONCOMALACIA CONGENITA,BRONCOMALACIA CONGENITA,sin_cambio,1.0,1,2020,1
BRONQUIECTASIA CONGÉNITA,BRONQUIECTASIA CONGÉNITA,sin_cambio,1.0,1,2023,1
BRUCELOSIS DEBIDA A BRUCELLA CANIS,BRUCELOSIS DEBIDA A BRUCELLA CANIS,sin_cambio,1.0,1,2024,1
PIE HENDIDO,PIE HENDIDO,sin_cambio,1.0,1,2022,1
CAIDA QUE IMPLICA CAMA,CAIDA QUE IMPLICA CAMA,sin_cambio,1.0,1,2022,1
PERFORACIÓN CONGÉNITA DEL TABIQUE NASAL,PERFORACIÓN CONGÉNITA DEL TABIQUE NASAL,sin_cambio,1.0,1,2024,1
PERFORACIÓN DEL CONDUCTO BILIAR,PERFORACIÓN DEL CONDUCTO BILIAR,sin_cambio,1.0,1,2023,1
PERICARDITIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,PERICARDITIS EN ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE,typo,0.9016,1,2023,1
PERICARDITIS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRAS PARTE,PERICARDITIS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRAS PARTE,sin_cambio,1.0,1,2024,1
PERICARDITIS REUMATICA AGUDA,PERICARDITIS REUMÁTICA AGUDA,acento,0.99,1,2020,1
PENFIGOIDE,PENFIGOIDE,sin_cambio,1.0,1,2023,1
PENFIGOIDE CICATRICIAL,PENFIGOIDE CICATRICIAL,sin_cambio,1.0,1,2023,1
"CAMBIO AGUDO DE LA PIEL DEBIDO A RADIACIÓN ULTRAVIOLETA, SIN OTRA ESPECIFICACIÓN","CAMBIO AGUDO DE LA PIEL DEBIDO A RADIACIÓN ULTRAVIOLETA, SIN OTRA ESPECIFICACIÓN",sin_cambio,1.0,1,2023,1
"CAMBIOS DE LA PIEL DEBIDOS A EXPOSICIÓN CRÓNICA A RADIACIÓN NO IONIZANTE, SIN OTRA ESPECIFICACIÓN","CAMBIOS DE LA PIEL DEBIDOS A EXPOSICIÓN CRÓNICA A RADIACIÓN NO IONIZANTE, SIN OTRA ESPECIFICACIÓN",sin_cambio,1.0,1,2024,1
CANDIDIASIS,CANDIDIASIS,sin_cambio,1.0,1,2023,1
CANDIDIASIS PULMONAR,CANDIDIASIS PULMONAR,sin_cambio,1.0,1,2021,1
CARBUNCO CUTANEO,CARBUNCO CUTANEO,sin_cambio,1.0,1,2020,1
CARCINOMA IN SITU DE LA TRÁQUEA,CARCINOMA IN SITU DE LA TRÁQUEA,sin_cambio,1.0,1,2023,1
"PERITONITIS PELVICA FEMENINA, NO ESPECIFICADA","PERITONITIS PÉLVICA FEMENINA, NO ESPECIFICADA",acento,0.99,1,2020,1
CAIDA NO ESPECIFICADA: LUGAR NO ESPECIFICADO,"CAÍDA NO ESPECIFICADA, LUGAR NO ESPECIFICADO",typo,0.9773,1,2020,1
"CORROSION DE LA CADERA Y DEL MIEMBRO INFERIOR, GRADO NO ESPECIFICADO, EXCEPTO TOBILLO Y PIE","CORROSIÓN DE LA CADERA Y MIEMBRO INFERIOR, GRADO NO ESPECIFICADO, EXCEPTO TOBILLO Y PIE",typo,0.9775,1,2020,1
"CORROSION DE LA MUÐECA Y DE LA MANO, DE PRIMER GRADO","CORROSIÓN DE LA MUÑECA Y DE LA MANO, DE PRIMER GRADO",typo,0.9808,1,2020,1
"OTROS EVENTOS ESPECIFICADOS, DE INTENCIÓN NO DETERMINADA, VIVIENDA","OTROS EVENTOS ESPECIFICADOS, DE INTENCIÓN NO DETERMINADA, VIVIENDA",sin_cambio,1.0,1,2022,1
PERSISTENCIA DE LA CLOACA,PERSISTENCIA DE LA CLOACA,sin_cambio,1.0,1,2022,1
PERSISTENCIA DE LA VENA CAVA SUPERIOR IZQUIERDA,PERSISTENCIA DE LA VENA CAVA SUPERIOR IZQUIERDA,sin_cambio,1.0,1,2022,1
"PERSONA APLASTADA, EMPUJADA O PISOTEADA POR UNA MULTITUD O ESTAMPIDA HUMANA, VIVIENDA","PERSONA APLASTADA, EMPUJADA O PISOTEADA POR UNA MULTITUD O ESTAMPIDA HUMANA, VIVIENDA",sin_cambio,1.0,1,2024,1
PERSONA EN CONTACTO CON LOS SERVICIOS DE SALUD PAR,PERSONA EN CONTACTO CON LOS SERVICIOS DE SALUD PAR,sin_cambio,1.0,1,2020,1
"PERSONA LESIONADA EN ACCIDENTE DE TRÁNSITO, DE VEHÍCULO SIN MOTOR NO ESPECIFICADO","PERSONA LESIONADA EN ACCIDENTE DE TRÁNSITO, DE VEHÍCULO DE MOTOR NO ESPECIFICADO",typo,0.9689,1,2022,1
CORROSION DE REGION DEL CUERPO Y GRADO NO ESPECIFICADOS,CORROSION DE REGION DEL CUERPO Y GRADO NO ESPECIFICADOS,sin_cambio,1.0,1,2020,1
"CORROSION DE SEGUNDO GRADO, REGION DEL CUERPO NO ESPECIFICADA","CORROSION DE SEGUNDO GRADO, REGION DEL CUERPO NO ESPECIFICADA",sin_cambio,1.0,1,2020,1
"CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, DE PRIMER GRADO, EXCEPTO DE LA MUÐECA Y DE LA MANO","CORROSIÓN DEL HOMBRO Y MIEMBRO SUPERIOR, DE PRIMER GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO",typo,0.989,1,2020,1
"CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, DE SEGUNDO GRADO, EXCEPTO DE LA MUÐECA Y DE LA MANO","CORROSIÓN DEL HOMBRO Y MIEMBRO SUPERIOR, DE SEGUNDO GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO",typo,0.9891,1,2020,1
COREA REUMÁTICA CON COMPLICACIÓN CARDÍACA,COREA REUMÁTICA CON COMPLICACIÓN CARDÍACA,sin_cambio,1.0,1,2024,1
"CORROSION DE LA CABEZA Y DEL CUELLO, DE PRIMER GRADO","CORROSIÓN DE LA CABEZA Y DEL CUELLO, DE PRIMER GRADO",acento,0.99,1,2020,1
"CORROSION DE LA CABEZA Y DEL CUELLO, DE TERCER GRADO","CORROSIÓN DE LA CABEZA Y DEL CUELLO, DE PRIMER GRADO",typo,0.9423,1,2020,1
"CORROSION DE LA CADERA Y DEL MIEMBRO INFERIOR, DE SEGUNDO GRADO, EXCEPTO TOBILLO Y PIE","CORROSION DE LA CADERA Y DEL MIEMBRO INFERIOR, DE SEGUNDO GRADO, EXCEPTO TOBILLO Y PIE",sin_cambio,1.0,1,2020,1
CORROSIONES QUE AFECTAN DEL 20 AL 29% DE LA SUPERFICIE DEL CUERPO,CORROSIONES QUE AFECTAN DEL 20 AL 29% DE LA SUPERFICIE DEL CUERPO,sin_cambio,1.0,1,2023,1
CORROSIONES QUE AFECTAN MENOS DEL 10% DE LA SUPERFICIE DEL CUERPO,CORROSIONES QUE AFECTAN MENOS DEL 10% DE LA SUPERFICIE DEL CUERPO,sin_cambio,1.0,1,2023,1
"CORROSIÓN DE LA CABEZA Y DEL CUELLO, DE TERCER GRADO","CORROSIÓN DE LA CABEZA Y DEL CUELLO, DE PRIMER GRADO",typo,0.9423,1,2021,1
"CORROSIÓN DE LA CADERA Y MIEMBRO INFERIOR, DE PRIMER GRADO, EXCEPTO TOBILLO Y PIE","CORROSIÓN DE LA CADERA Y MIEMBRO INFERIOR, DE PRIMER GRADO, EXCEPTO TOBILLO Y PIE",sin_cambio,1.0,1,2023,1
"CORROSION DE LA MUÐECA Y DE LA MANO, DE TERCER GRADO","CORROSIÓN DE LA MUÑECA Y DE LA MANO, DE TERCER GRADO",typo,0.9808,1,2020,1
"CORROSION DE LA MUÐECA Y DE LA MANO, GRADO NO ESPECIFICADO","CORROSIÓN DE LA MUÑECA Y DE LA MANO, GRADO NO ESPECIFICADO",typo,0.9828,1,2020,1
CORROSION DE OTRAS PARTES DEL OJO Y SUS ANEXOS,CORROSIÓN DE OTRAS PARTES DEL OJO Y SUS ANEXOS,acento,0.99,1,2020,1
CORROSION DE OTRAS PARTES DEL TUBO DIGESTIVO,CORROSIÓN DE OTRAS PARTES DEL TUBO DIGESTIVO,acento,0.99,1,2020,1
"PERSONA LESIONADA POR COLISIÓN ENTRE OTROS VEHÍCULOS DE MOTOR ESPECIFICADOS, NO DE TRÁNSITO","PERSONA LESIONADA POR COLISIÓN ENTRE OTROS VEHÍCULOS DE MOTOR ESPECIFICADOS, NO DE TRÁNSITO",sin_cambio,1.0,1,2023,1
OTRAS TERAPIAS FISICAS,OTRAS TERAPIAS FÍSICAS,acento,0.99,1,2020,1
OTRAS VARIANTES DEL SINDROME DE TURNER,OTRAS VARIANTES DEL SÍNDROME DE TURNER,acento,0.99,1,2020,1
"OTRO ABORTO: COMPLETO O NO ESPECIFICADO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS","OTRO ABORTO COMPLETO O NO ESPECIFICADO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS",typo,0.9951,1,2020,1
OTRO HUÉSPED EN SERVICIOS DE SALUD,OTRO HUÉSPED EN SERVICIOS DE SALUD,sin_cambio,1.0,1,2022,1
"OTRO TRASTORNO PSICÓTICO AGUDO, CON PREDOMINIO DE IDEAS DELIRANTES","OTRO TRASTORNO PSICÓTICO AGUDO, CON PREDOMINIO DE IDEAS DELIRANTES",sin_cambio,1.0,1,2022,1
"CORROSIONES MÚLTIPLES, MENCIONADAS COMO DE NO MÁS DE SEGUNDO GRADO","CORROSIONES MÚLTIPLES, MENCIONADAS COMO DE NO MÁS DE SEGUNDO GRADO",sin_cambio,1.0,1,2022,1
CORROSIONES QUE AFECTAN DEL 10 AL 19% DE LA SUPERFICIE DEL CUERPO,CORROSIONES QUE AFECTAN DEL 10 AL 19% DE LA SUPERFICIE DEL CUERPO,sin_cambio,1.0,1,2021,1
OTROS AHOGAMIENTOS Y SUMERSIONES ESPECIFICADOS: VIVIENDA,"OTROS AHOGAMIENTOS Y SUMERSIONES ESPECIFICADOS, VIVIENDA",typo,0.9821,1,2020,1
OTROS CAMBIOS AGUDOS ESPECIFICADOS DE LA PIEL DEBIDOS A RADIACION ULTRAVIOLETA,OTROS CAMBIOS AGUDOS ESPECIFICADOS DE LA PIEL DEBIDOS A RADIACION ULTRAVIOLETA,sin_cambio,1.0,1,2020,1
OTRAS SUPRESIONES DE LOS AUTOSOMAS,OTRAS SUPRESIONES DE LOS AUTOSOMAS,sin_cambio,1.0,1,2021,1
"BURSOPATIA, NO ESPECIFICADA","BURSOPATÍA, NO ESPECIFICADA",acento,0.99,1,2020,1
CAIDA DESDE PEÐASCO: VIVIENDA,"CAÍDA DESDE PEÑASCO, VIVIENDA",typo,0.931,1,2020,1
CAIDA DESDE UN ARBOL: VIVIENDA,"CAÍDA DESDE UN ÁRBOL, VIVIENDA",typo,0.9667,1,2020,1
"CAIDA DESDE, FUERA O A TRAV╔S DE UN EDIFICIO U OTRA CONSTRUCCION: AREAS DE DEPO","CAIDA DESDE, FUERA O A TRAV╔S DE UN EDIFICIO U OTRA CONSTRUCCION: AREAS DE DEPO",sin_cambio,1.0,1,2020,1
"CAIDA EN EL MISMO NIVEL POR POR DESLIZAMIENTO, TRO","CAIDA EN EL MISMO NIVEL POR POR DESLIZAMIENTO, TRO",sin_cambio,1.0,1,2020,1
OTROS ESTRANGULAMIENTOS Y AHORCAMIENTOS ACCIDENTALES,OTROS ESTRANGULAMIENTOS Y AHORCAMIENTOS ACCIDENTALES,sin_cambio,1.0,1,2021,1
"OTROS ESTRANGULAMIENTOS Y AHORCAMIENTOS ACCIDENTALES, ÁREA INDUSTRIAL Y DE LA CONSTRUCCIÓN","OTROS ESTRANGULAMIENTOS Y AHORCAMIENTOS ACCIDENTALES, ÁREA INDUSTRIAL Y DE LA CONSTRUCCIÓN",sin_cambio,1.0,1,2021,1
OTROS DEFECTOS POR REDUCCION DE MIEMBRO(S) NO ESPECIFICADO(S),OTROS DEFECTOS POR REDUCCIÓN DE MIEMBRO(S) NO ESPECIFICADO(S),acento,0.99,1,2020,1
"OTROS DISPOSITIVOS MEDICOS, Y LOS NO ESPECIFICADOS, ASOCIADOS CON INCIDENTES ADVERSOS","OTROS DISPOSITIVOS MEDICOS, Y LOS NO ESPECIFICADOS, ASOCIADOS CON INCIDENTES ADVERSOS",sin_cambio,1.0,1,2023,1
"OTROS DISPOSITIVOS MÉDICOS, Y LOS NO ESPECIFICADOS, ASOCIADOS CON INCIDENTES ADVERSOS, INSTRUMENTOS QUIRÚRGICOS, DISPOSITIVOS Y MATERIALES (INCLUSIVE SUTURAS)","OTROS DISPOSITIVOS MÉDICOS, Y LOS NO ESPECIFICADOS, ASOCIADOS CON INCIDENTES ADVERSOS, INSTRUMENTOS QUIRÚRGICOS, DISPOSITIVOS Y MATERIALES (INCLUSIVE SUTURAS)",sin_cambio,1.0,1,2023,1
OTROS EFECTOS DEL CALOR Y DE LA LUZ,OTROS EFECTOS DEL CALOR Y DE LA LUZ,sin_cambio,1.0,1,2023,1
"OTROS ACCIDENTES DE TRANSPORTE POR AGUA, Y LOS NO ESPECIFICADOS: BARCO MERCANTE","OTROS ACCIDENTES DE TRANSPORTE POR AGUA, Y LOS NO ESPECIFICADOS: BARCO MERCANTE",sin_cambio,1.0,1,2020,1
